MO_Sleep_Quality_Insomnia;DM11_01;Sleep Quality/Insomnia ;Had trouble falling asleep.;Likert 1-7 (To a very small extent - To a very large extent)
;DM11_02;Sleep Quality/Insomnia ;Had troubles staying asleep (including waking up too early).;Likert 1-7 (To a very small extent - To a very large extent)
;DM11_03;Sleep Quality/Insomnia ;Woke up several times during the night.;Likert 1-7 (To a very small extent - To a very large extent)
;DM11_04;Sleep Quality/Insomnia;Woke up after your usual amount of sleep feeling tired and worn out.;Likert 1-7 (To a very small extent - To a very large extent)
MO_Time_to_get_asleep;;Time needed to fall asleep;MO_Time_to_Bed - MO_Time_Asleep;Minutes
MO_sleep_time;;Time slept ;MO_Time_Asleep - MO_Time_Awake;Minutes
MO_time_to_get_up;;Time needed to stay up;MO_Time_Awake - MO_Time_Got_U;Minutes
MO_Activity_planned_todo_Morning;DM12;Activity Planning_Morning;Do you plan to do the exercise today?;Selection(1 Yes - 2 No)
MO_type_of_Activity_planned_Morning;DM13;Activity Planning_Morning;What exercise is it or would it be?;Selection(1 None - 2 Fasting - 3 Indulging - 4 Reflection)
;;;;
;;;;
Summarized Variable;ID;Topic;Question/Statement;Type
EV_Activity_Check;DE01;Activity Check;Did you successfully do the exercise today?;Selection(2 Yes - 1 No)
EV_Activity_Planning_Evening;DE02;Activity Planning_Evening;Did you plan to do the exercise today?;Selection(2 Yes - 1 No)
EV_Withdrawal_SP;DE03_01;Withdrawal - SP  ;I missed my smartphone terribly today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE03_02;Withdrawal - SP ;I felt an irresistible need to use my smartphone today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE03_03;Withdrawal - SP ;I would have liked to hold my smartphone much more in my hand today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Overuse_Information_Overload_SP;DE04_01;Overuse/Information Overload - SP ;Using my smartphone took up too much of my time today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE04_02;Overuse/Information Overload - SP ;Today, it took me too much effort to do all tasks on my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE04_03;Overuse/Information Overload - SP ;I felt overloaded by all the things I did with my smartphone today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE04_04;Overuse/Information Overload - SP ;Today, I felt overwhelmed with the number of messages I received on my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Cognitive_Well_Being;DE05_01;Cognitive Well-Being ;How positively did you feel about yourself today?;Likert 1-7 (Not at all - Extremly)
;DE05_02;Cognitive Well-Being ;Thinking about your life, how satisfied are you with how things went today?;Likert 1-7 (Not at all - Extremly)
;DE05_03;Cognitive Well-Being ;How optimistic are you about how your life will be tomorrow?;Likert 1-7 (Not at all - Extremly)
EV_Affective_Well_Being_Positive;DE06_01;Affective Well-Being - Positive ;I felt happy today.;Likert 1-7 (Not at all - Extremly)
;DE06_02;Affective Well-Being - Positive ;I felt excited today.;Likert 1-7 (Not at all - Extremly)
;DE06_03;Affective Well-Being - Positive ;I felt enthusiastic today.;Likert 1-7 (Not at all - Extremly)
;DE06_04;Affective Well-Being - Positive ;I felt inspired today.;Likert 1-7 (Not at all - Extremly)
EV_Affective_Well_Being_Negative;DE07_01;Affective Well-Being - Negative :(reversed);I felt sad today. ;Likert 1-7 (Not at all - Extremly)
;DE07_02;Affective Well-Being - Negative (reversed);I felt irritable today.;Likert 1-7 (Not at all - Extremly)
;DE07_03;Affective Well-Being - Negative (reversed);I felt distressed today.;Likert 1-7 (Not at all - Extremly)
;DE07_04;Affective Well-Being - Negative (reversed);I felt afraid today.;Likert 1-7 (Not at all - Extremly)
EV_Anger_Anxiety;DE08_01;Anger (and Anxiety) ;I felt angry today.;Likert 1-7 (Not at all - Extremly)
;DE08_02;Anger (and Anxiety) ;I felt mad today.;Likert 1-7 (Not at all - Extremly)
;DE08_03;Anger (and Anxiety) ;I felt enraged today.;Likert 1-7 (Not at all - Extremly)
;DE08_04;Anger (and Anxiety) ;I felt anxious today.;Likert 1-7 (Not at all - Extremly)
EV_Peer_Satisfaction;DE09_01;Peer Satisfaction;I felt that my relationship with my peers was very stable today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE09_02;Peer Satisfaction ;I felt that I had a good relationship with my peers today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE09_03;Peer Satisfaction ;My relationship with my peers made me happy today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Performance;DE11_01;Performance ;I feel like I was productive today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE11_02;Performance ;I feel like I was efficient today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE11_03;Performance ;I feel like my work was of a high quality today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Venting_Anger;DE12_01;Venting Anger ;Today, I was mad and told everyone exactly what was on my mind.;Likert 1-7 (Never - Many times)
;DE12_02;Venting Anger ;"Today, I have lost it; I slammed doors for example.";Likert 1-7 (Never - Many times)
;DE12_03;Venting Anger ;Today, I took it out on my family, my friends, and other people.;Likert 1-7 (Never - Many times)
EV_Rumination_Thinking_SP;DE13_01;Rumination Thinking - SP ;Today, I had trouble doing other things because thoughts about my smartphone use kept coming into my mind.;Likert 1-7 (Not at all true to me - Extremly true to me)
;DE13_02;Rumination Thinking - SP ;Today, I couldn't get thoughts of my smartphone use out of my mind even though I wanted to.;Likert 1-7 (Not at all true to me - Extremly true to me)
;DE13_03;Rumination Thinking - SP ;Today, I found myself playing the unintended use of my smartphone over and over in my mind.;Likert 1-7 (Not at all true to me - Extremly true to me)
;DE13_04;Rumination Thinking - SP ;Today, memories and thoughts that came into my mind about my smartphone use made me feel upset or troubled.;Likert 1-7 (Not at all true to me - Extremly true to me)
;DE13_05;Rumination Thinking - SP ;Today, even when I was engaged in group discussions, I thought about my smartphone use.;Likert 1-7 (Not at all true to me - Extremly true to me)
EV_Interpersonal_Conflict_SP;DE14_01;Interpersonal Conflict - SP ;Using my smartphone today impaired the quality of communication I had with my peers.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE14_02;Interpersonal Conflict - SP ;My interactions with my peers were negatively affected today through the use of my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE14_03;Interpersonal Conflict - SP ;I experienced more conflicts with my peers today because of my smartphone use.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_System_Satisfaction_SP;DE15_01;System Satisfaction - SP ;I am satisfied with my usage of my smartphone today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Gratitude_SP;DE16_01;Gratitude - SP ;Today, I had so much about my smartphone to be thankful for.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE16_02;Gratitude - SP ;If I had to list everything about my smartphone I felt thankful for today, it would be a very long list.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE16_03;Gratitude - SP ;Today, I was thankful for my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Engagement;DE17_01;Engagement ;Today, I felt challenged in a positive way.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE17_02;Engagement ;Today, I exerted my full effort.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE17_03;Engagement ;Today, I felt strong and vigorous.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Resource_Depletion;DE18_01;Resource Depletion ;My life was mentally exhausting today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE18_02;Resource Depletion ;My energy was running low today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE18_03;Resource Depletion ;I felt burned out today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE18_04;Resource Depletion ;I felt emotionally drained today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Challenge_IS_Use_Appraisal_SP;DE19_01;Challenge IS Use Appraisal - SP ;Using my smartphone kept me engaged and feeling good today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Hindrance_IS_Use_Appraisal_SP;DE20_01;Hindrance IS Use Appraisal - SP;Using my smartphone made me feel anxious and overloaded today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_IT_Mindfulness_Altertness_to_Distinction_SP;DE21_01;IT Mindfulness - Altertness to Distinction - SP ;I was very attentive to identifying new ways to use my smartphone today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_IT_Mindfulness_Awareness_of_Multiple_Perspectives_SP;DE22_01;IT Mindfulness - Awareness of Multiple Perspectives - SP;I was open to learning new ways of using my smartphone today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_IT_Mindfulness_Openness_to_Novelty_SP;DE23_01;IT Mindfulness - Openness to Novelty -SP ;I was willing to try out new ways to use my smartphone today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_IT_Mindfulness_Orientation_to_the_Present_SP;DE24_01;IT Mindfulness - Orientation to the Present - SP ;I was very aware of how I used my smartphone today.;Likert 1-7 (Strongly disagree - Strongly agree)
EV_Absorption_Focused_Use;DE25_01;Absorption/Focused Use ;I lost track of time when I used my smartphone today.;Likert 1-7 (Strongly disagree - Strongly agree)
;DE26;Extraordinary;Did anything extraordinary happen that critically influenced the way you used your smartphone today? (e.g., sickness, accident);Selection(1 Yes - 2 No)
;;;;
Summarized Variable;ID;Topic;Question/Statement;Type
BS_week;;Number of base survey;;1-3
BS_Cognitive_Well_Being;BS01_01;Cognitive Well-Being ;How positively do you feel about yourself?;Likert 1-7 (Not at all - Extremly)
;BS01_02;Cognitive Well-Being ;Thinking about your life, how satisfied are you with how things go?;Likert 1-7 (Not at all - Extremly)
;BS01_03;Cognitive Well-Being ;How optimistic are you about how your life will be tomorrow?;Likert 1-7 (Not at all - Extremly)
BS_Affective_Well_Being;BS02_01;Affective Well-Being - Positive ;I felt happy today.;Likert 1-7 (Not at all - Extremly)
;BS02_02;Affective Well-Being - Positive ;I felt excited today.;Likert 1-7 (Not at all - Extremly)
;BS02_03;Affective Well-Being - Positive ;I felt enthusiastic today.;Likert 1-7 (Not at all - Extremly)
;BS02_04;Affective Well-Being - Positive ;I felt inspired today.;Likert 1-7 (Not at all - Extremly)
BS_Affective_Well_Being_Negative;BS03_01;Affective Well-Being - Negative :(reversed);I felt sad today. ;Likert 1-7 (Not at all - Extremly)
;BS03_02;Affective Well-Being - Negative (reversed);I felt irritable today.;Likert 1-7 (Not at all - Extremly)
;BS03_03;Affective Well-Being - Negative (reversed);I felt distressed today.;Likert 1-7 (Not at all - Extremly)
;BS03_04;Affective Well-Being - Negative (reversed);I felt afraid today.;Likert 1-7 (Not at all - Extremly)
BS_Anger_and_Anxiety;BS04_01;Anger (and Anxiety) ;I felt angry today.;Likert 1-7 (Not at all - Extremly)
;BS04_02;Anger (and Anxiety) ;I felt mad today.;Likert 1-7 (Not at all - Extremly)
;BS04_03;Anger (and Anxiety) ;I felt enraged today.;Likert 1-7 (Not at all - Extremly)
;BS04_04;Anger (and Anxiety) ;I felt anxious today.;Likert 1-7 (Not at all - Extremly)
BS_Big_5_reversed;BS05_01;Big 5 Short Scale (reversed);... is reserved. ;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Big_5_trusting;BS05_02;Big 5 Short Scale ;... is generally trusting.;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Big_5_lazy;BS05_03;Big 5 Short Scale (reversed);... tends to be lazy.;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Big_5_relaxed;BS05_04;Big 5 Short Scale (reversed);... is relaxed, handles stress well.;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Big_5_few_artistic_creative_interest;BS05_05;Big 5 Short Scale (reversed);... has few artistic/creative interests;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Big_5_outgoing;BS05_06;Big 5 Short Scale ;... is outgoing, sociable.;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Big_5_find_fault_with_others;BS05_07;Big 5 Short Scale (reversed);... tends to find fault with others.;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Big_5_job;BS05_08;Big 5 Short Scale ;... does a thorough job.;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Big_5_nervous;BS05_09;Big 5 Short Scale ;... gets nervous easily.;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Big_5_imaginagion;BS05_10;Big 5 Short Scale ;... has an active imagination.;Scale 1-5 (Disagree strongly - Agree strongly)
BS_Negative_Affectivity;BS06_01;Negative Affectivity ;I often find myself worrying about something.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS06_03;Negative Affectivity ;My feelings are hurt rather easily.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS06_02;Negative Affectivity ;I suffer from nervousness.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS06_04;Negative Affectivity ;My mood often goes up and down.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS06_05;Negative Affectivity ;I often lose sleep over my worries.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_Personal_Innovativeness;BS07_01;Personal Innovativeness ;If I heard about a new information technology, I would look for ways to experiment with it.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS07_02;Personal Innovativeness ;Among my peers, I am usually the first to try out new information technologies.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS07_03;Personal Innovativeness ;In general, I am not hesitant to try out new information technologies;Likert 1-7 (Strongly disagree - Strongly agree)
BS_Use_Habit_SP;BS08_01;Use Habit - SP ;I am addicted to using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS08_02;Use Habit - SP ;The use of my smartphone has become a habit for me.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS08_03;Use Habit - SP ;I must use my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_Addiction_Scale_SP;BS09_01;Addiction Scale - SP ;Missing planned work due to smartphone use.;Likert 1-7 (Not at all - Always)
;BS09_02;Addiction Scale - SP ;Having a hard time concentrating in class, while doing assignments, or while working due to smartphone use.;Likert 1-7 (Not at all - Always)
;BS09_03;Addiction Scale - SP ;Feeling pain in the wrists or at the back of the neck while using a smartphone.;Likert 1-7 (Not at all - Always)
;BS09_04;Addiction Scale - SP ;Won’t be able to stand (d.h. aushalten) not having a smartphone.;Likert 1-7 (Not at all - Always)
;BS09_05;Addiction Scale - SP ;Feeling impatient when I am not holding my smartphone.;Likert 1-7 (Not at all - Always)
;BS09_06;Addiction Scale - SP ;Having my smartphone in my mind even when I am not using it.;Likert 1-7 (Not at all - Always)
;BS09_07;Addiction Scale - SP ;Not giving up using my smartphone even when my daily life is already greatly affected by it.;Likert 1-7 (Not at all - Always)
;BS09_08;Addiction Scale - SP ;Constantly checking my smartphone so as not to miss conversations between other people on social media.;Likert 1-7 (Not at all - Always)
;BS09_09;Addiction Scale - SP ;Using my smartphone longer than I had intended.;Likert 1-7 (Not at all - Always)
;BS09_10;Addiction Scale - SP ;The people around me tell me that I use my smartphone too much.;Likert 1-7 (Not at all - Always)
BS_Controllability_SP;BS10_01;Controllability - SP ;I find it difficult to overrule an impulse to use my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS10_02;Controllability - SP ;I find it difficult to overcome my tendency to use my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS10_03;Controllability - SP ;I find it difficult to control my tendency to use my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS10_04;Controllability - SP ;I find it hard to restrain my urge to use my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_IT_Identity_SP;BS11_01;IT Identity - SP ;... I feel dependent on my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS11_02;IT Identity - SP ;... I feel reliant on my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS11_03;IT Identity - SP ;... I feel energized by my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS11_04;IT Identity - SP ;... I feel enthusiastic about my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS11_05;IT Identity - SP ;... I feel linked with my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS11_06;IT Identity - SP ;... I feel connected with my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_IT_Mindfulness_Altertness_to_Distinction_SP;BS12_01;IT Mindfulness - Altertness to Distinction -SP;I find it easy to create new and effective ways of using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS12_02;IT Mindfulness - Altertness to Distinction -SP;I am very creative when using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS12_03;IT Mindfulness - Altertness to Distinction -SP;I make novel contributions to my life through the use of my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_IT_Mindfulness_Awareness_of_Multiple_Perspectives_SP;BS13_01;IT Mindfulness - Awareness of Multiple Perspectives - SP ;I am often open to learning new ways of using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS13_02;IT Mindfulness - Awareness of Multiple Perspectives - SP ;I have an open mind about new ways of using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_IT_Mindfulness_Openness_to_Novelty_SP;BS14_01;IT Mindfulness - Openness to Novelty -SP ;I like to investigate different ways of using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS14_02;IT Mindfulness - Openness to Novelty -SP ;I am very curious about different ways of using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS14_03;IT Mindfulness - Openness to Novelty -SP ;I like to figure out different ways of using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_IT_Mindfulness_Orientation_to_the_Present_SP;BS15_01;IT Mindfulness - Orientation to the Present -SP ;I often notice how other people are using their smartphones.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS15_02;IT Mindfulness - Orientation to the Present -SP ;I attend to the 'big picture' when using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS15_03;IT Mindfulness - Orientation to the Present -SP ;I 'get involved' when using my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_Gratitude_SP;BS16_01;Gratitude - SP ;I have so much about my smartphone to be thankful for.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS16_02;Gratitude - SP ;If I had to list everything about my smartphone I felt thankful for, it would be a very long list.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS16_03;Gratitude - SP ;I am thankful for my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS16_04;Gratitude - SP ;I find myself able to appreciate the apps, functionalites, and situations that have been part of my smartphone use history.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_IT_Self_Efficacy;BS17_01;IT Self-Efficacy ;Scan my environment for useful new technologies;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_02;IT Self-Efficacy ;Purchase technologies that will help me.;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_03;IT Self-Efficacy ;Install/set up technologies;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_04;IT Self-Efficacy ;Integrate a technology with other technologies related to it;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_05;IT Self-Efficacy ;Adapt to new features and updates;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_06;IT Self-Efficacy ;Learn to use unfamiliar technologies;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_07;IT Self-Efficacy ;Use technologies for simple tasks;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_08;IT Self-Efficacy ;Use technologies for advanced tasks;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_09;IT Self-Efficacy ;Use technologies for new unintended tasks;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_10;IT Self-Efficacy ;Become skillful using my technologies;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_11;IT Self-Efficacy ;Troubleshoot problems;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_12;IT Self-Efficacy ;Keep my technologies updated;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_13;IT Self-Efficacy ;Find support for problems that are beyond my abilities to solve;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_14;IT Self-Efficacy ;Show people around me how to use it;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
;BS17_15;IT Self-Efficacy ;Help others fix problems;Scale 0-10 (Cannot do it at all -  Highly certain I can do it)
BS_Social_Desirability;BS18_01;Social Desirability ;It is sometimes hard for me to go on with my work if I am not encouraged.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS18_02;Social Desirability (reversed);No matter who I’m talking to, I’m always a good listener. ;Likert 1-7 (Strongly disagree - Strongly agree)
;BS18_03;Social Desirability (reversed);I’m always willing to admit it when I make a mistake.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS18_04;Social Desirability ;I sometimes try to get even, rather than forgive and forget.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS18_05;Social Desirability (reversed);There have been times when I was quite jealous of the good fortune of others.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS18_06;Social Desirability ;There have been occasions when I took advantage of someone.;Likert 1-7 (Strongly disagree - Strongly agree)
BS_Marker_Variable;BS19_01;Marker Variable;I prefer blue to other colors.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS19_02;Marker Variable;I like the color blue.;Likert 1-7 (Strongly disagree - Strongly agree)
;BS19_03;Marker Variable;"Please click here ""Strongly disagree""";Likert 1-7 (Strongly disagree - Strongly agree)
;BS19_04;Marker Variable;I like blue clothes.;Likert 1-7 (Strongly disagree - Strongly agree)
;;;;
;;;;
Summarized Variable;ID;Topic;Question/Statement;Type
WS_week;;Number of week;;1-3
WS_Withdrawal_SP;WS01_01;Withdrawal - SP;I missed my smartphone terribly last week.;Likert 1-7 (Strongly disagree - Strongly agree)
;WS01_02;Withdrawal - SP;I felt an irresistible need to use my smartphone last week.;Likert 1-7 (Strongly disagree - Strongly agree)
;WS01_03;Withdrawal - SP;I would have liked to hold my smartphone much more in my hand last week.;Likert 1-7 (Strongly disagree - Strongly agree)
WS_Overuse_Information_Overload_SP;WS02_01;Overuse/Information Overload - SP ;Using my smartphone took up too much of my time last week.;Likert 1-7 (Strongly disagree - Strongly agree)
;WS02_02;Overuse/Information Overload - SP ;Last week, it took me too much effort to do all tasks on my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
;WS02_03;Overuse/Information Overload - SP ;I felt overloaded by all the things I did with my smartphone last week.;Likert 1-7 (Strongly disagree - Strongly agree)
;WS02_04;Overuse/Information Overload - SP ;Last week, I felt overwhelmed with the number of messages I received on my smartphone.;Likert 1-7 (Strongly disagree - Strongly agree)
WS_Cognitive_Well_Being;WS03_01;Cognitive Well-Being;How positively did you feel about yourself last week?;Likert 1-7 (Not at all - Extremly)
;WS03_02;Cognitive Well-Being;Thinking about your life, how satisfied are you with how things went last week?;Likert 1-7 (Not at all - Extremly)
;WS03_03;Cognitive Well-Being;How optimistic are you about how your life will be next week?;Likert 1-7 (Not at all - Extremly)
WS_Affective_Well_Being_Positive;WS04_01;Affective Well-Being - Positive ;I felt happy this week.;Likert 1-7 (Not at all - Extremly)
;WS04_02;Affective Well-Being - Positive ;I felt excited this week.;Likert 1-7 (Not at all - Extremly)
;WS04_03;Affective Well-Being - Positive ;I felt enthusiastic this week.;Likert 1-7 (Not at all - Extremly)
;WS04_04;Affective Well-Being - Positive ;I felt inspired this week.;Likert 1-7 (Not at all - Extremly)
WS_Affective_Well_Being_Negative;WS05_01;Affective Well-Being - Negative (reversed);I felt sad this week. ;Likert 1-7 (Not at all - Extremly)
